,No.,GaodeLng,GaodeLat,housing_price,compact,open,large_low_rise,UGS,Distance,T20200518,T20210725,T20210324,T20191002,T20190904,T20221020,T20190306,T20230809,T20211221,T20191031,T20220522,T20200610,T20210505,T20200129,T20220410,T20220628,T20220406,T20200202,T20221125,T20230412,T20220611,T20210427,T20230408,T20211125,T20190707,T20220505,T20220702,T20230804,T20190610,T20191018,T20210212,T20210613,T20230915,T20210530,T20210501,T20190815,T20220928,T20200902,T20220501,T20220530,T20220526,T20230612,T20210328,T20200324,District_id,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Dist_8
658,659,113.7027372,34.72510897,0.990985887,71.89719011,13.54705028,13.78029575,9.440855513,5.087905394,22.12864911,,14.6117888,32.62870808,28.43969304,27.55942599,9.634068966,36.80946194,18.931389,,31.02724236,34.7507713,21.33291703,,31.79813175,39.33352872,24.57600555,15.12503912,16.79400635,,,29.45696828,21.279077,13.72465661,29.18832673,24.59550686,34.63994286,49.32639037,,12.7869875,,12.29739407,25.80961728,42.59263115,26.22228463,36.00291771,35.27304521,32.7938336,23.90321482,43.52165793,36.93696923,30.56600571,24.43358333,21.37863007,6,0,0,0,0,0,1,0,0
659,660,113.7035435,34.72308481,1.452135283,69.25602321,21.39917626,9.344799562,10.96767617,5.286802618,22.26396784,,14.49966157,31.92578082,28.42210595,26.99513362,9.650686043,37.29014524,19.03688107,,31.09443587,34.92897437,21.3563403,,31.51823406,39.4565073,24.33870209,15.13380297,16.85937288,,26.7800075,29.34425659,20.93063316,13.68474318,29.24119365,24.70019608,34.66154421,49.44125824,,12.78667309,,12.46167303,25.59530034,42.51864831,26.20228538,36.0232563,34.94950695,32.82760099,24.14900551,43.19530926,36.84235184,30.58491203,24.18308918,21.39907496,6,0,0,0,0,0,1,0,0
660,661,113.7109752,34.72581458,1.147014682,49.25057998,48.41908712,1.863665734,11.60034436,5.656206266,22.4922683,,14.98359191,31.34448909,28.12761683,27.1845503,9.727234189,37.22181594,18.58125744,,30.9574054,35.07139021,21.20093626,,33.12188168,38.94242963,23.66120172,16.03347529,17.2760931,,25.31572178,28.75174481,20.55263176,14.24711139,28.51852219,24.54752137,34.4805689,49.07412293,,13.06665191,,12.31271394,25.7159559,41.64862233,25.77721163,36.02673455,35.12925154,32.54901256,22.77969111,42.82413156,36.36405771,30.83438129,26.2318869,21.46550522,6,0,0,0,0,0,1,0,0
661,662,113.7070434,34.73749701,1.302796492,40.78492063,19.80931229,39.36133993,3.874766294,4.733223302,21.81683861,,15.34497493,34.87327604,30.91175804,25.77637516,10.1572052,36.58419614,20.07861625,,31.99642215,39.40116683,22.69333923,,32.66308786,41.50049724,25.78565799,15.83831886,16.93231524,,,32.79375564,23.71155494,13.69466165,31.13752265,26.0957039,37.05585693,51.89785767,41.00001526,12.82384313,,12.47672971,26.33452247,44.6315073,28.18695824,37.91513195,36.81205828,34.89772729,25.46669441,46.49066022,39.05632777,33.24248995,25.97894932,21.87688198,6,0,0,0,0,0,1,0,0
662,663,113.7007985,34.72410074,0.639922456,61.2250287,21.03412777,14.14581881,14.59188222,5.021881475,22.0478817,,14.55254138,32.5214742,28.38255301,26.58900509,9.579497515,37.1200062,18.62565793,,30.96241142,34.68241148,21.17284497,,31.83604383,39.14363174,24.3800688,15.05671284,16.65575562,,25.57000732,29.00513153,21.42283928,13.52863698,29.12069702,24.57253893,34.47115991,48.94515899,,12.69101879,,12.49000676,25.85677389,42.24926626,25.90007398,35.78488216,35.18163166,32.6813818,23.81825619,43.22870249,36.70400658,30.36648425,23.77083298,21.34245828,6,0,0,0,0,0,1,0,0
663,664,113.7017981,34.72642203,0.933714741,67.971711,9.798425753,18.95368883,7.710445569,4.930404357,22.00450687,,14.68689913,32.94942944,28.51969305,27.37104678,9.613642467,36.34879014,18.92962838,,30.99014366,34.6164213,21.31503661,,32.02750683,39.29820507,24.6010619,15.1039374,16.8758812,,,29.51485145,21.44070127,13.68738213,29.15969062,24.62081435,34.68784016,49.19271501,,12.73713131,,12.28264863,26.08899981,42.64006772,26.2771779,36.04950297,35.41981727,32.85025401,23.89363098,43.65165724,36.92391968,30.65025877,24.60500678,21.30342276,6,0,0,0,0,0,1,0,0
664,665,113.7037231,34.72528542,0.773895185,73.37311808,15.55171169,11.07516927,7.649682099,5.147108383,22.13500671,,14.60535186,32.53430987,28.4366333,27.79323278,9.650005967,36.82960571,19.07918851,,31.0419498,34.83167365,21.32728935,,31.81113803,39.42255302,24.63025589,15.11525385,16.87931469,,,29.55173426,21.22963781,13.7961795,29.14248832,24.61875706,34.65420921,49.54608603,,12.77203157,,12.28316538,25.84459797,42.65174458,26.3241312,36.03385688,35.39882684,32.95300674,23.91534651,43.54296903,37.04635927,30.63886657,24.63142273,21.41000479,6,0,0,0,0,0,1,0,0
665,666,113.7134766,34.73206162,0.857606875,14.8460688,70.42023538,2.989698164,26.87140256,5.516602421,21.44590693,,14.76613102,32.75400696,28.40962997,27.17474305,10.00375595,35.57281828,18.33650703,,30.69684488,35.7442043,21.01488037,,33.90468877,37.92425671,23.93913097,14.91263761,16.40070064,,,29.32325592,21.60435777,12.99506821,28.67382067,24.48763065,34.27415649,47.29286194,34.72438335,12.8501314,,12.30279006,25.16250572,40.91185751,25.97742832,34.71721123,34.7308759,32.22225704,22.43808002,42.88951299,35.63199364,29.76220742,26.08572791,21.06926031,6,0,0,0,0,0,1,0,0
666,667,113.7011197,34.72782664,1.144996789,63.42988645,11.19613788,19.53761104,6.046991201,4.786772149,21.88988087,,14.81566481,33.3243398,28.65547265,26.84468376,9.597666314,35.86007605,18.82949906,,30.9595786,34.60255214,21.39450493,,32.48210615,39.39214474,24.59766058,15.12655332,16.87758414,,,29.69088173,21.48213387,13.66532357,29.21112231,24.71663151,34.79671488,49.2096287,,12.70409504,,12.28894421,26.34948947,42.65273801,26.43060739,36.02679632,35.4784525,32.85088177,23.91239613,43.64353524,36.94482083,30.72342336,25.1709228,21.39950562,6,0,0,0,0,0,1,0,0
667,668,113.7010838,34.7270025,0.818895812,62.13649853,11.70163032,19.68800789,8.133458824,4.83925883,21.94215876,,14.74987832,33.22026739,28.58623327,26.96260527,9.597428469,36.18451293,18.84925084,,30.97906082,34.59932278,21.3275365,,32.2158823,39.3204412,24.60367748,15.1209652,16.87088051,,,29.51588135,21.50679939,13.64975681,29.1990728,24.64497519,34.72127176,49.04061859,,12.72074721,,12.31613242,26.22975275,42.62658769,26.26074129,35.99742731,35.45994232,32.88704352,23.87919873,43.65785716,36.93534766,30.65235317,24.8521726,21.34175568,6,0,0,0,0,0,1,0,0
